2025-12-21 20:15:15.945 [info] Reading sessions from keychain...
2025-12-21 20:15:15.945 [info] Getting sessions for all scopes...
2025-12-21 20:15:15.945 [info] Got 0 sessions for ...
2025-12-21 20:15:15.945 [info] Getting sessions for all scopes...
2025-12-21 20:15:15.945 [info] Got 0 sessions for ...
2025-12-21 20:15:15.945 [info] Getting sessions for all scopes...
2025-12-21 20:15:15.945 [info] Got 0 sessions for ...
2025-12-21 20:15:15.945 [info] Getting sessions for all scopes...
2025-12-21 20:15:15.945 [info] Got 0 sessions for ...
2025-12-21 20:15:15.945 [info] Getting sessions for all scopes...
2025-12-21 20:15:15.945 [info] Got 0 sessions for ...
2025-12-21 20:15:15.945 [info] Getting sessions for all scopes...
2025-12-21 20:15:15.945 [info] Got 0 sessions for ...
2025-12-21 20:15:15.945 [info] Getting sessions for all scopes...
2025-12-21 20:15:15.945 [info] Got 0 sessions for ...
2025-12-21 20:15:15.945 [info] Getting sessions for all scopes...
2025-12-21 20:15:15.945 [info] Got 0 sessions for ...
2025-12-21 20:15:15.951 [info] Getting sessions for all scopes...
2025-12-21 20:15:15.951 [info] Got 0 sessions for ...
2025-12-21 20:15:15.958 [info] Getting sessions for all scopes...
2025-12-21 20:15:15.958 [info] Got 0 sessions for ...
2025-12-21 20:15:15.958 [info] Getting sessions for all scopes...
2025-12-21 20:15:15.958 [info] Got 0 sessions for ...
2025-12-21 20:15:15.958 [info] Getting sessions for all scopes...
2025-12-21 20:15:15.958 [info] Got 0 sessions for ...
2025-12-21 20:15:15.958 [info] Getting sessions for all scopes...
2025-12-21 20:15:15.958 [info] Got 0 sessions for ...
2025-12-21 20:15:15.959 [info] Getting sessions for all scopes...
2025-12-21 20:15:15.959 [info] Got 0 sessions for ...
2025-12-21 20:15:16.465 [info] Getting sessions for read:user,repo,user:email,workflow...
2025-12-21 20:15:16.465 [info] Got 0 sessions for read:user,repo,user:email,workflow...
2025-12-21 20:15:16.948 [info] Getting sessions for all scopes...
2025-12-21 20:15:16.948 [info] Got 0 sessions for ...
